nomorKK,kepalaKeluargaNIK,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,kodePos
3201010101011001,3201010101010001,Jl. Raya Merdeka No. 123,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011002,3201010101010003,Jl. Raya Merdeka No. 125,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011003,3201010101010005,Jl. Raya Merdeka No. 127,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011004,3201010101010007,Jl. Raya Merdeka No. 129,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011005,3201010101010011,Jl. Raya Merdeka No. 133,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011006,3201010101010012,Jl. Raya Merdeka No. 134,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011007,3201010101010013,Jl. Raya Merdeka No. 135,05,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011008,3201010101010017,Jl. Raya Merdeka No. 139,06,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011009,3201010101010019,Jl. Raya Merdeka No. 141,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011010,3201010101010020,Jl. Raya Merdeka No. 142,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011011,3201010101010023,Jl. Raya Merdeka No. 145,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011012,3201010101010024,Jl. Raya Merdeka No. 146,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011013,3201010101010025,Jl. Raya Merdeka No. 147,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011014,3201010101010027,Jl. Raya Merdeka No. 149,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011015,3201010101010028,Jl. Raya Merdeka No. 150,10,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011016,3201010101010031,Jl. Raya Merdeka No. 153,11,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
