nik,nama,tempatLahir,tanggalLahir,jenisKelamin,agama,pendidikan,pekerjaan,statusPerkawinan,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,golonganDarah,statusKependudukan
3201010101010001,Budi Santoso,Jakarta,1990-01-15,Laki-laki,Islam,S1,PNS,Menikah,Jl. Raya Merdeka No. 123,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010002,Siti Nurhaliza,Bandung,1992-03-20,Perempuan,Islam,SMA,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 124,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010003,Agus Wijaya,Surabaya,1988-07-10,Laki-laki,Islam,SMK,Wiraswasta,Menikah,Jl. Raya Merdeka No. 125,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010004,Dewi Lestari,Yogyakarta,1995-05-25,Perempuan,Islam,S1,Guru,Belum Menikah,Jl. Raya Merdeka No. 126,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010005,Rudi Hartono,Medan,1985-11-30,Laki-laki,Islam,SD,Buruh,Menikah,Jl. Raya Merdeka No. 127,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010006,Indah Sari,Palembang,1993-09-12,Perempuan,Islam,SMA,Karyawan Swasta,Belum Menikah,Jl. Raya Merdeka No. 128,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010007,Andi Pratama,Makassar,1991-02-18,Laki-laki,Islam,S1,Dokter,Menikah,Jl. Raya Merdeka No. 129,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010008,Maya Sari,Denpasar,1994-08-05,Perempuan,Hindu,SMA,Pedagang,Belum Menikah,Jl. Raya Merdeka No. 130,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010009,Bambang Sutrisno,Semarang,1987-12-22,Laki-laki,Islam,SMK,Tukang,Menikah,Jl. Raya Merdeka No. 131,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010010,Rina Wati,Malang,1996-04-14,Perempuan,Islam,SMA,Mahasiswa,Belum Menikah,Jl. Raya Merdeka No. 132,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
