nik,nama,tempatLahir,tanggalLahir,jenisKelamin,agama,pendidikan,pekerjaan,statusPerkawinan,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,golonganDarah,statusKependudukan
3201010101010001,Budi Santoso,Jakarta,1990-01-15,Laki-laki,Islam,S1,PNS,Menikah,Jl. Raya Merdeka No. 123,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010003,Agus Wijaya,Surabaya,1988-07-10,Laki-laki,Islam,SMK,Wiraswasta,Menikah,Jl. Raya Merdeka No. 125,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010005,Rudi Hartono,Medan,1985-11-30,Laki-laki,Islam,SD,Buruh,Menikah,Jl. Raya Merdeka No. 127,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010007,Andi Pratama,Makassar,1991-02-18,Laki-laki,Islam,S1,Dokter,Menikah,Jl. Raya Merdeka No. 129,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010011,Joko Widodo,Solo,1989-06-08,Laki-laki,Islam,S1,Pengusaha,Menikah,Jl. Raya Merdeka No. 133,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010012,Sri Mulyani,Pekanbaru,1992-10-03,Perempuan,Islam,S2,Dosen,Menikah,Jl. Raya Merdeka No. 134,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010013,Arif Rahman,Banjarmasin,1990-01-20,Laki-laki,Islam,SMK,Sopir,Menikah,Jl. Raya Merdeka No. 135,05,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010017,Hendra Gunawan,Padang,1988-03-07,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 139,06,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010019,Irfan Maulana,Banda Aceh,1991-05-04,Laki-laki,Islam,S1,Insinyur,Menikah,Jl. Raya Merdeka No. 141,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010020,Nurul Hidayati,Mataram,1992-08-22,Perempuan,Islam,SMA,Guru,Menikah,Jl. Raya Merdeka No. 142,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010023,Rizki Fadillah,Depok,1984-04-12,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 145,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010024,Winda Sari,Cirebon,1990-09-25,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 146,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010025,Supriyadi,Karawang,1975-03-18,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 147,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010027,Doni Setiawan,Ciamis,1982-07-22,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 149,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010028,Ratna Dewi,Purwakarta,1985-12-05,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 150,10,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
